eq,variable,beta,cov_estimate
V1,V1.L1,0,0.171323801290419
V1,V1.L2,0,-0.0242955109991603
V1,V10.L1,0,-0.0562805212822095
V1,V10.L2,0,0.0488941036673768
V1,V2.L1,0,0.0452625286392452
V1,V2.L2,0,-0.104254828899445
V1,V3.L1,0,0.0265340357917925
V1,V3.L2,0,-0.0504478354063679
V1,V4.L1,-0.84078614442938,0.223662701543775
V1,V4.L2,0,0.112446580310573
V1,V5.L1,0,-0.0706461166526799
V1,V5.L2,0,-0.0807367946187497
V1,V6.L1,0,-0.184263302665318
V1,V6.L2,0,-0.0435153239407678
V1,V7.L1,0,-0.483886072040522
V1,V7.L2,0,-0.155768153573127
V1,V8.L1,0,-0.227042915861376
V1,V8.L2,0,-0.00113176227839053
V1,V9.L1,0,-0.0101460028250352
V1,V9.L2,0,0.148500878890051
V10,V1.L1,0,0.0848994482076601
V10,V1.L2,0,0.120715642080238
V10,V10.L1,0,0.18834839054358
V10,V10.L2,0,0.109904454873761
V10,V2.L1,0,0.0490218353207135
V10,V2.L2,0,0.0248839557270587
V10,V3.L1,0,0.0436283940662064
V10,V3.L2,0,0.004379834919052
V10,V4.L1,0,-0.23498911993522
V10,V4.L2,0,0.200081520866839
V10,V5.L1,0,-0.193886571289419
V10,V5.L2,0.228402701066457,-0.117459899228604
V10,V6.L1,0,-0.151409342846995
V10,V6.L2,0,0.0584089471945234
V10,V7.L1,0,-0.04001847500505
V10,V7.L2,0,-0.0492429480354422
V10,V8.L1,0,0.0515607888419051
V10,V8.L2,0,0.00429628905941794
V10,V9.L1,0,0.0909240375356447
V10,V9.L2,0,-0.0476083777261314
V2,V1.L1,0,0.136827221499247
V2,V1.L2,0,-0.0355153805905678
V2,V10.L1,0,0.0110614990802847
V2,V10.L2,0,-0.0514464892236718
V2,V2.L1,0,-0.0260793225314803
V2,V2.L2,0,-0.0575747298565641
V2,V3.L1,0,0.0515144194614686
V2,V3.L2,0,-0.038700480948956
V2,V4.L1,0,-0.054875171300021
V2,V4.L2,0,0.137057713862493
V2,V5.L1,0,0.045848492291446
V2,V5.L2,0,0.0300702448602506
V2,V6.L1,0,-0.105066617608914
V2,V6.L2,0,-0.1047397608748
V2,V7.L1,0,-0.058832273127094
V2,V7.L2,0,-0.0746210654134565
V2,V8.L1,0,-0.0623201203508287
V2,V8.L2,0,-0.0401470666276893
V2,V9.L1,0,0.0228479271954823
V2,V9.L2,0,0.024489820221078
V3,V1.L1,0,0.0346792005790187
V3,V1.L2,0,-0.119563400019965
V3,V10.L1,0,-0.035740736311582
V3,V10.L2,0,-0.0799449829035473
V3,V2.L1,0,-0.110898870458297
V3,V2.L2,0,0.00558929772796412
V3,V3.L1,0,-0.0243448696202063
V3,V3.L2,0,-0.0450705095380017
V3,V4.L1,0,-0.276314991848786
V3,V4.L2,0,0.173515565146263
V3,V5.L1,0,-0.0287945405071904
V3,V5.L2,0,-0.115348287306463
V3,V6.L1,0,-0.193606511987942
V3,V6.L2,0,-0.0176069396865507
V3,V7.L1,0,-0.00118545633539202
V3,V7.L2,0,-0.0271375210646428
V3,V8.L1,0,-0.0082890558985483
V3,V8.L2,0,-0.042372203789526
V3,V9.L1,0,-0.0476936990147888
V3,V9.L2,0,-0.104919126143447
V4,V1.L1,0,-0.102715310620851
V4,V1.L2,0,-0.388233888426823
V4,V10.L1,0,-0.575018658661583
V4,V10.L2,0,-0.0824145681475005
V4,V2.L1,0,0.0846386665260999
V4,V2.L2,0,-0.529241295594964
V4,V3.L1,0,-0.068982155765631
V4,V3.L2,0,-0.0799625958674968
V4,V4.L1,0,0.0698628036094827
V4,V4.L2,0,-0.0894131850514807
V4,V5.L1,0,0.101394642459996
V4,V5.L2,0,4.33617477336212
V4,V6.L1,0,1.18499787060969
V4,V6.L2,0,1.2908251172212
V4,V7.L1,0,-0.123830988865868
V4,V7.L2,0,0.135060589672638
V4,V8.L1,2.88225866622401,-0.0458086796220129
V4,V8.L2,0,-0.249536904237925
V4,V9.L1,0,0.329100021366567
V4,V9.L2,0,0.871239488470664
V5,V1.L1,-0.673711300920837,-0.79615925289108
V5,V1.L2,0,-0.0197136213201124
V5,V10.L1,0,0.0863414649217807
V5,V10.L2,0,0.111421630814619
V5,V2.L1,0,-0.244039509370519
V5,V2.L2,0,-0.129147280969686
V5,V3.L1,0,0.00546041489224486
V5,V3.L2,0,-0.058761212795193
V5,V4.L1,0,-0.271083256430856
V5,V4.L2,0,-2.64664757088618
V5,V5.L1,0,0.0463268332632732
V5,V5.L2,0,-0.0622460076134792
V5,V6.L1,0,0.119346235574215
V5,V6.L2,0,0.0242829455208267
V5,V7.L1,0,0.0422588491014838
V5,V7.L2,-0.145278486565167,0.331423601863721
V5,V8.L1,0,0.133491746818377
V5,V8.L2,0,0.257225294301559
V5,V9.L1,0,0.223521314146721
V5,V9.L2,0,0.0722114634666315
V6,V1.L1,0,-0.0638132434912796
V6,V1.L2,0,-0.31757192622662
V6,V10.L1,0,0.451896278324553
V6,V10.L2,0.116599815094653,0.428094183552833
V6,V2.L1,0,0.00448512262944221
