eq,variable,beta,corr_estimate
V1,V1.L1,0,0.163605139306931
V1,V1.L2,0,-0.0230329864720884
V1,V10.L1,0,-0.0730228252125352
V1,V10.L2,0,0.0630431674431424
V1,V2.L1,0,0.0632991206502138
V1,V2.L2,0,-0.144522882726897
V1,V3.L1,0,0.0417429572669739
V1,V3.L2,0,-0.0788153224376143
V1,V4.L1,-0.84078614442938,0.0607810661921463
V1,V4.L2,0,0.0305149732713423
V1,V5.L1,0,-0.0552903652166603
V1,V5.L2,0,-0.0633068142156433
V1,V6.L1,0,-0.0929737607356067
V1,V6.L2,0,-0.0217654767465028
V1,V7.L1,0,-0.68195615223887
V1,V7.L2,0,-0.218567525827667
V1,V8.L1,0,-0.335404442159614
V1,V8.L2,0,-0.00165793302534808
V1,V9.L1,0,-0.00810203177893046
V1,V9.L2,0,0.117547611100399
V10,V1.L1,0,0.111058739500393
V10,V1.L2,0,0.156846660232127
V10,V10.L1,0,0.334758078180729
V10,V10.L2,0,0.194215704614138
V10,V2.L1,0,0.0939111293253919
V10,V2.L2,0,0.0472767232539731
V10,V3.L1,0,0.0940194620728311
V10,V3.L2,0,0.00937806792861196
V10,V4.L1,0,-0.087476446916592
V10,V4.L2,0,0.0744151280980506
V10,V5.L1,0,-0.207863161009215
V10,V5.L2,0.228402701066457,-0.12622811360786
V10,V6.L1,0,-0.104650872619706
V10,V6.L2,0,0.0400398879927096
V10,V7.L1,0,-0.0772578284722737
V10,V7.L2,0,-0.0946975016511188
V10,V8.L1,0,0.104339569339686
V10,V8.L2,0,0.00862566870130796
V10,V9.L1,0,0.0994595083797369
V10,V9.L2,0,-0.0516482580619399
V2,V1.L1,0,0.195217601600617
V2,V1.L2,0,-0.0502356840338463
V2,V10.L1,0,0.0214428117324901
V2,V10.L2,0,-0.0989712172838254
V2,V2.L1,0,-0.0544907009267751
V2,V2.L2,0,-0.119081412433139
V2,V3.L1,0,0.121080982765206
V2,V3.L2,0,-0.0902102974689454
V2,V4.L1,0,-0.0222801372254167
V2,V4.L2,0,0.0554934668659368
V2,V5.L1,0,0.0536109431849993
V2,V5.L2,0,0.0351793291090206
V2,V6.L1,0,-0.0792051686919805
V2,V6.L2,0,-0.0781644315766366
V2,V7.L1,0,-0.123878569993006
