eq,variable,y,pred
1,1,0.0,0.02573622265652029
1,10,0.0,0.0256338233625413
1,100,0.0,0.025503151858944497
1,101,0.0,0.02570665507890983
1,102,0.0,0.02567010795064456
1,103,0.155244073360998,0.025581553205625097
1,104,0.0,0.025630978862449666
1,105,0.0,0.025556575161843467
1,106,0.0,0.02557761129839151
1,107,0.0,0.025512422007220446
1,108,0.0,0.02560393847403625
1,109,0.0,0.02557184552094848
1,11,0.149028163219592,0.025678541260096
1,110,0.0,0.025541989956486637
1,111,0.0,0.025757130502134695
1,112,0.0,0.02556222565550322
1,113,0.0,0.02560994195167724
1,114,0.0,0.025692942602815037
1,115,0.134418762145745,0.025645789151918678
1,116,0.0,0.02552444986150593
1,117,0.0,0.025595260004746174
1,118,0.0,0.025587122608127934
1,119,0.0,0.025752104398276753
1,12,0.0,0.02557672587621847
1,120,0.0,0.02562475347968749
1,121,0.0,0.02562594119113365
1,122,0.0,0.02566897130285796
1,123,0.0,0.025536238847950116
1,124,0.0,0.025699867092586367
1,125,0.0,0.025628564527578668
1,126,0.0,0.02567696694013052
1,127,0.0,0.025698630612936965
1,128,0.0,0.025713222193083238
1,129,0.0,0.025644192816578672
1,13,0.0,0.02578641926610797
1,130,0.0,0.025622292638138554
1,131,0.0,0.025718665530398654
1,132,0.0,0.025723489270267956
1,133,0.0,0.025633459502716973
1,134,0.0,0.025804641837467057
1,135,-0.163082618600282,0.025738238945009977
1,136,0.0,0.025748233650146703
1,137,0.0,0.02563487640636686
1,138,0.0,0.02559461030930428
1,139,0.0,0.025632892039148907
1,14,0.0,0.02562465222622493
1,140,0.0,0.025694277487086133
1,141,0.0,0.02566677301798462
1,142,0.0,0.025738568974601812
1,143,0.0,0.02570623263585026
1,144,0.0,0.02555063637593404
1,145,0.0,0.025813960610221415
1,146,0.0,0.025741066031857163
1,147,0.0,0.025809295668973956
1,148,0.0,0.02569501535017145
1,149,0.0,0.025762055164890635
1,15,0.0,0.025581266506896783
1,150,0.0,0.02570147388992291
1,151,0.0,0.025667063493777734
1,152,0.0,0.02575115854837531
1,153,0.0,0.025581143123310973
1,154,0.0,0.025645332878634526
1,155,0.0,0.025662937448111642
1,156,0.0,0.025546168650439897
1,157,0.0,0.02560358552712456
1,158,0.0,0.02566705571340437
1,159,0.133855503320406,0.025649853191913603
1,16,0.0,0.025617461993638235
1,160,0.0,0.025648261002241872
1,161,0.0,0.025757161468768178
1,162,0.0,0.02563942422367859
