eq,variable,beta,cov_estimate,corr_estimate,beta_estimate
V1,V1.L1,-0.104073845363831,0.0381043940644353,0.0208859800225841,0.0211089929546453
V1,V1.L2,-0.127526174429455,-0.332986044642965,-0.185957581844615,-0.188687476573676
V1,V10.L1,-0.0998220750569026,0.0679054598271586,0.0263879073656471,0.0193500553926846
V1,V10.L2,0.0673542838833468,0.532350701842566,0.207077214312877,0.148206096958701
V1,V2.L1,0.129165722282695,-0.0623567646002847,-0.0405872251756688,-0.0474448582770679
V1,V2.L2,-0.432397254172634,0.490866699222958,0.319794554489095,0.381625089716148
V1,V3.L1,-0.0166063293966423,0.747343315838688,0.327882740461342,0.259042290279716
V1,V3.L2,-0.017891366918522,0.365734356077447,0.160303815029922,0.125409451766593
V1,V4.L1,0,-2.62405003688276,-0.631250633528515,-0.27742039232604
V1,V4.L2,-0.0679376171702376,-0.916638254375972,-0.224084396029916,-0.10065382374151
V1,V5.L1,-0.254933139500717,1.20232396531554,0.523331697095011,0.412157285418164
V1,V5.L2,0.229296733767279,0.0293300834179986,0.0129134957202576,0.00739567291056685
V1,V6.L1,0.0629428907688523,-1.11047974842522,-0.311318709076182,-0.159705083316029
V1,V6.L2,0.384086635214161,-0.75704824322483,-0.216450551393623,-0.113008549097901
V1,V7.L1,-0.000615124967130147,-0.522779730147372,-0.216453284460976,-0.164287075990615
V1,V7.L2,0.0696595710353494,-0.56095556110814,-0.232846277854371,-0.177192453897015
V1,V8.L1,0,-0.309004822685828,-0.0927122104198089,-0.0512843483360581
V1,V8.L2,0.0925625989270304,0.533645343116286,0.159525930641633,0.0863146972521552
V1,V9.L1,0.0113414780439872,-0.536886601677362,-0.176783843979007,-0.106687275852017
V1,V9.L2,-0.0545297681336833,1.53761540929756,0.50755255340824,0.305420235723152
V10,V1.L1,-0.380359897298769,-0.667811712003043,-0.259984719982565,-0.366474158890674
V10,V1.L2,0.0066558930997077,0.409051093176556,0.161738288021687,0.234673722851841
V10,V10.L1,0.00341877609894394,0.111349386324178,0.0307327963784081,0.0316992579532667
V10,V10.L2,-0.221188101555579,-1.4348209183688,-0.395166035198332,-0.394739193646556
V10,V2.L1,0.39605157108641,-0.572277172545262,-0.264561232029809,-0.441625530494112
V10,V2.L2,-0.118663231263899,0.596889001307107,0.27532680636847,0.464159097708064
V10,V3.L1,-0.0345585974022562,-0.0442792291389719,-0.0137978826681179,-0.0184883582558341
V10,V3.L2,0,1.60147269557523,0.49698704129168,0.556075713726306
V10,V4.L1,0.398819551414702,1.3743672137752,0.234826170289705,0.143918351180438
V10,V4.L2,-0.269833224959487,1.17621810083956,0.203586475204669,0.127618966708455
V10,V5.L1,-0.0739823525853454,-0.679151450930865,-0.209959806174309,-0.236456231970827
V10,V5.L2,-0.12185307725541,-0.383755045377301,-0.119627781829136,-0.138798118147108
V10,V6.L1,-0.164505745257808,2.85474452221626,0.568428468695989,0.409788191599138
V10,V6.L2,0.0786566674201863,2.00702057814582,0.406288371781416,0.300318815884684
V10,V7.L1,0.31239345050545,2.3015298759452,0.676824468667577,0.719743306240692
V10,V7.L2,0.229533595613085,0.598817407346859,0.175987849973032,0.188043161340194
V10,V8.L1,-0.0848201761907512,-1.46922723685743,-0.313093926423667,-0.242298415220405
