Var1,Var2,y,pred
1,1,0.0,-3.3682644
1,2,0.0,-0.1525502
1,3,0.0,-0.2117726
1,4,0.0,0.27858418
1,5,0.0,0.08467969
1,6,0.0,-0.25256857
1,7,-0.17845617113732398,0.07686615
1,8,0.0,0.25085136
1,9,0.0,0.05269849
1,10,0.0,-0.0013418822
1,11,0.0,-0.14082433
1,12,0.0,0.034441035
1,13,0.0,-0.22400013
1,14,0.0,-0.036598198
1,15,0.0,-0.5562026
1,16,0.186037494718257,-0.1195852
1,17,0.0,0.011093693
1,18,0.0,-0.0703294
1,19,0.0,-0.1560406
1,20,0.0,-0.04015776
1,21,0.0,0.12891985
1,22,0.0,-0.01988332
1,23,0.0,0.18517832
1,24,0.0,-0.14952034
1,25,0.0,0.24090123
1,26,0.0,-0.38741046
1,27,0.0,0.27211034
1,28,0.0,0.24368113
1,29,0.0,0.2737826
1,30,0.0,-0.26615041
1,31,0.0,-0.2305396
1,32,0.170000232110143,-0.023511488
1,33,0.0,0.4560509
1,34,0.0,-0.1189954
1,35,0.0,0.011325289
1,36,0.0,-0.20934837
1,37,0.0,0.12633996
1,38,0.0,0.16925524
1,39,0.0,-0.022147369
1,40,0.0,-0.14689709
1,41,0.0,0.053132623
1,42,0.0,-0.021001715
1,43,0.0,0.102969594
1,44,0.0,-0.28643203
1,45,0.0,0.016829815
1,46,0.0,0.23947813
1,47,0.0,0.09078246
1,48,0.0,-0.09643628
1,49,0.0,0.0007546684
1,50,0.16331942212745001,-0.11303876
1,51,0.0,0.27473402
1,52,0.0,0.04215798
1,53,0.0,0.13982317
1,54,0.0,-0.37923557
1,55,0.0,0.10234821
1,56,0.0,-0.110275805
1,57,0.0,-0.24569881
1,58,0.0,0.111862674
1,59,0.17155623524926403,-0.13737783
1,60,0.0,-0.27884898
1,61,0.0,-0.25285092
1,62,0.183808854705552,0.03810139
1,63,0.0,0.1564238
1,64,0.0,0.01095609
1,65,0.0,0.09320887
1,66,0.0,0.089844644
1,67,0.0,-0.09977221
1,68,0.0,0.014604032
1,69,0.0,-0.3085992
1,70,0.0,-0.09271101
1,71,0.0,-0.23875082
1,72,0.0,-0.23497033
1,73,0.0,0.09559806
1,74,0.0,0.09006171
1,75,0.0,0.002080732
1,76,0.0,0.24580973
1,77,0.0,0.20471172
1,78,0.0,-0.0052905763
1,79,-0.16914927799501,0.20412289
1,80,0.0,-0.028958019
1,81,0.0,0.23088989
1,82,0.0,0.07424961
1,83,0.0,0.2997349
1,84,0.0,0.21409038
1,85,0.0,-0.25982374
1,86,0.0,-0.13493675
1,87,0.176326310630529,0.18472041
1,88,0.0,-0.27249587
1,89,-0.19042377108620398,0.016520936
1,90,0.0,0.045122713
1,91,0.0,0.24813187
1,92,0.0,-0.26012918
1,93,0.164577555028929,-0.081706
1,94,0.0,0.09484684
1,95,0.0,0.12011397
1,96,0.0,0.09691802
1,97,0.0,0.08503546
1,98,0.170191763801687,-0.28796455
1,99,0.0,0.42691976
1,100,0.0,0.031465385
2,1,0.0,-0.13866657
2,2,0.0,-3.3682644
2,3,0.0,-0.032402698
2,4,0.0,0.20117545
2,5,0.0,-0.47958148
2,6,0.0,-0.2357335
2,7,0.0,-0.01727708
2,8,0.0,-0.11805621
2,9,0.0,0.02189212
2,10,0.0,0.43650466
2,11,0.0,-0.15330498
2,12,0.0,0.08285837
2,13,0.0,-0.21882077
2,14,0.0,-0.31961042
2,15,0.0,-0.1256922
2,16,0.0,-0.020203676
2,17,0.0,-0.39697853
2,18,0.0,-0.15398203
2,19,0.0,0.24599053
2,20,0.0,-0.008477454
2,21,0.0,-0.26050606
2,22,0.0,0.11337139
2,23,0.0,-0.03025474
2,24,0.0,-0.028367031
2,25,0.0,0.024048086
2,26,0.0,-0.17518993
2,27,0.0,0.1361204
2,28,0.0,-0.18858129
2,29,0.0,0.37364936
2,30,0.0,-0.42721358
2,31,0.0,-0.5042701
2,32,0.17064190597211498,0.15850475
2,33,0.0,0.06321208
2,34,0.0,0.03393579
2,35,0.0,-0.23128662
2,36,0.0,0.023286069
2,37,0.0,-0.01485657
2,38,0.0,0.061318178
2,39,0.0,-0.30091664
2,40,0.0,0.22892205
2,41,0.0,-0.009511494
2,42,0.0,0.03184504
2,43,0.0,-0.060595643
2,44,0.0,-0.25718766
2,45,0.165241597942958,-0.09633066
2,46,0.176264579220189,0.16332756
2,47,0.0,-0.027797882
2,48,0.0,0.26201782
2,49,0.0,0.1727671
2,50,-0.163935878958306,-0.22020182
2,51,0.0,-0.11889994
2,52,0.201562281993451,0.29625437
2,53,0.0,0.1593765
2,54,0.0,0.06634614
2,55,0.0,0.020579848
2,56,0.0,-0.16444232
2,57,0.0,-0.1692828
2,58,0.0,-0.011641734
2,59,0.0,-0.15775625
2,60,0.0,0.14919274
2,61,0.0,-0.50470346
2,62,0.0,-0.45222017
2,63,0.0,0.14913371
2,64,0.0,0.24699348
2,65,0.0,0.08651822
2,66,0.0,-0.130148
