eq,variable,beta,cov_estimate
V1,V1.L1,0.0678717843072677,-0.354380088969928
V1,V1.L2,0.00756977982982896,-0.835939268257375
V1,V10.L1,0.0354941806143436,-0.807755654194282
V1,V10.L2,0.158771460718385,-0.0774356198680879
V1,V100.L1,-0.0380630364294611,1.34230136075012
V1,V100.L2,0.0747941300879122,-0.281092124488883
V1,V101.L1,-0.02474777721839,0.251099991815928
V1,V101.L2,-0.0243640713218863,1.03645555137484
V1,V102.L1,0,-0.677367530172509
V1,V102.L2,0.0259538478958702,-0.898146897422651
V1,V103.L1,-0.0756808027770479,1.07235238977461
V1,V103.L2,-0.0294764799000935,-1.30024272952121
V1,V104.L1,-0.034160675390113,-0.0575224590996771
V1,V104.L2,-0.024906906436717,0.28385393693196
V1,V105.L1,-0.0128588220891959,0.580059069137476
V1,V105.L2,-0.0374529294926956,-0.623236485071893
V1,V106.L1,0.0353004611117762,0.0708774991998315
V1,V106.L2,0,1.37836661474518
V1,V107.L1,0.0422015082459764,1.74153791770022
V1,V107.L2,0.0961862585797776,-0.5214732387775
V1,V108.L1,0.00465144511098152,-0.618721293946544
V1,V108.L2,0.0313559856956253,-0.362159903956544
V1,V109.L1,0.045803454313002,0.417388657849038
V1,V109.L2,0.057708624338727,1.59654875599081
V1,V11.L1,0,-0.309865119950606
V1,V11.L2,0.0642202284870855,2.66448683862102
V1,V110.L1,0.0577210453940493,0.332125467714277
V1,V110.L2,0.0356176968391316,-0.0932369062183517
V1,V111.L1,0.0109171418992253,-1.63653355622042
V1,V111.L2,0.00415423227314809,0.902027541123673
V1,V112.L1,0.0356996437060156,-0.853445106522517
V1,V112.L2,-0.0068021922807801,0.834544185259514
V1,V113.L1,-0.0456077316568184,1.35532427892797
V1,V113.L2,0,-0.700393179924689
V1,V114.L1,0.0165051071344414,-2.72511310225672
V1,V114.L2,-0.0177748705887204,-2.37703685986954
V1,V115.L1,0.0213501438179106,0.0794127254484735
V1,V115.L2,0.00819953780026402,0.554650571867929
V1,V116.L1,0,1.39416589424907
V1,V116.L2,-0.0201330599292367,-0.851464806291055
V1,V117.L1,-0.0608941850315078,-1.64578116683217
V1,V117.L2,-0.0620480992898428,-1.04061779877924
V1,V118.L1,0,-0.624299884638658
V1,V118.L2,0.0716319875921765,2.10842253744929
V1,V119.L1,-0.026193247371991,-1.74904854635094
V1,V119.L2,0.00146014395963052,-0.0254833400782896
V1,V12.L1,0.0547793041251274,-1.30573170325628
V1,V12.L2,0.00885926632622971,-0.588544116585187
V1,V120.L1,0.00867049927661592,0.476030648098244
V1,V120.L2,0,0.5494166263811
V1,V121.L1,-0.0150915888755694,0.796777499911022
V1,V121.L2,0,0.237904957162851
V1,V122.L1,0.0506375218740385,0.119394961309345
V1,V122.L2,0.00689249605219411,0.204975075578237
V1,V123.L1,-0.0586073457176213,0.637930162801678
V1,V123.L2,0.0990541711916757,-1.31599718617142
V1,V124.L1,0,-0.36387815408855
V1,V124.L2,-0.00278234998663668,-0.567182415141833
V1,V125.L1,0.0884514046752641,0.490000252638764
V1,V125.L2,-0.0218610777893624,-0.805341468538011
V1,V126.L1,0.0125937400998202,-1.38067519026095
V1,V126.L2,-0.019489285361328,-2.43246329663189
V1,V127.L1,0.0453226056635042,0.598512537322057
V1,V127.L2,-0.020387589487067,0.748059996410515
V1,V128.L1,-0.0280115732735321,-1.4593041834883
V1,V128.L2,0,-0.429333264365301
V1,V129.L1,0.0142349535756205,1.62121466957151
V1,V129.L2,0,-0.406225756944411
V1,V13.L1,0.0682862785719668,1.06028214228599
V1,V13.L2,0.00378174360829116,0.16124574898644
V1,V130.L1,0.0149752574793843,0.848033167421522
V1,V130.L2,0.143051035501176,-0.64613998321844
V1,V131.L1,0.0158723827134815,2.18517788170167
V1,V131.L2,0.00794347972158934,-2.07092556867292
V1,V132.L1,0,-1.89552448982019
V1,V132.L2,0.0631176707336422,-1.37711263970602
V1,V133.L1,-0.0270140232818298,-1.40040553078983
V1,V133.L2,0.0512208645052019,-0.367961904959089
V1,V134.L1,-0.0700781885486772,1.90416123290437
V1,V134.L2,-0.0230910754004259,1.48812278385267
V1,V135.L1,0.0489588931361752,0.102870699190292
V1,V135.L2,0.0640738332931223,1.44097922928851
V1,V136.L1,-0.0231231740454534,-2.18808564423192
V1,V136.L2,0.0963418049195954,0.825305949835293
V1,V137.L1,0.0387416444601265,-0.010823006644475
V1,V137.L2,-0.0399034187843023,1.80125888375584
V1,V138.L1,0.0658880431510335,0.503672413318994
V1,V138.L2,-0.0592435619563957,-0.188550631859967
V1,V139.L1,0,0.246546462469634
V1,V139.L2,0,-1.70771003215512
V1,V14.L1,-0.0796523185258232,-2.85926353229293
V1,V14.L2,0,1.78922910568722
V1,V140.L1,0.0337821330914233,2.63830239180519
V1,V140.L2,0.0338675023009187,-2.0425445482618
V1,V141.L1,0,0.246368532563418
V1,V141.L2,0,-0.97471380820493
V1,V142.L1,-0.000896633285792129,0.766525514293712
V1,V142.L2,0.040363289044466,0.392159844276439
V1,V143.L1,-0.0810674599131343,1.24617709239808
V1,V143.L2,-0.011853443404034,-2.44082983592006
V1,V144.L1,0.00605934372278104,0.0384984172776756
V1,V144.L2,-0.0586079017845014,0.65153015358619
