Var1,Var2,y,pred
1,1,0.0,-0.029955091
1,2,0.0,0.0036681273
1,3,0.0,-0.00062331767
1,4,0.0,0.0036681273
1,5,0.0,0.0036681273
1,6,0.0,-0.00015506358
1,7,0.0,0.009362828
1,8,0.0,0.0035046765
1,9,0.0,0.0036681273
1,10,0.0,0.0036681273
1,11,0.0,0.0018954256
1,12,0.0,0.0022256353
1,13,0.0,0.0037116238
1,14,0.0,0.001301972
1,15,0.0,0.0034877562
1,16,0.0,0.0036681273
1,17,0.0,0.0036191994
1,18,0.0,0.0036681273
1,19,0.129803824443156,0.0022745111
1,20,0.0,0.0036681273
1,21,0.0,0.0022084245
1,22,0.0,0.00028699427
1,23,0.0,0.0023342648
1,24,0.0,0.0036681273
1,25,0.13136689677611,0.0038339326
1,26,0.0,0.0036681273
1,27,0.0,0.0036681273
1,28,0.0,0.004588222
1,29,0.0,0.0036681273
1,30,0.122400661596454,0.0036681273
1,31,0.0,0.0036681273
1,32,0.0,-0.0010714254
1,33,0.135523632127327,0.0036681273
1,34,0.0,0.0036681273
1,35,0.0,-0.0033131859
1,36,0.0,0.0036681273
1,37,0.0,0.0036681273
1,38,0.0,0.0035421157
1,39,0.0,0.0036681273
1,40,0.0,0.0036681273
1,41,0.0,0.0036681273
1,42,-0.137266962827419,0.0047412654
1,43,0.0,-0.0046617407
1,44,0.0,-0.0017404279
1,45,0.0,0.0036681273
1,46,0.0,0.0036681273
1,47,0.0,0.0036681273
1,48,0.0,0.0022685805
1,49,0.0,0.0036681273
1,50,0.0,0.0036681273
1,51,0.135181728299619,0.0036681273
1,52,0.0,0.0041327346
1,53,0.0,0.0036681273
1,54,0.0,0.0036681273
1,55,0.0,0.0021737644
1,56,0.0,0.0036681273
1,57,0.0,0.0036681273
1,58,0.0,0.0004657486
1,59,0.0,0.003665326
1,60,0.0,0.004457486
1,61,0.0,0.0042722914
1,62,-0.140743721314561,0.0036681273
1,63,0.0,0.0036681273
1,64,0.0,0.0047217645
1,65,0.0,0.0034887844
1,66,0.0,0.0036681273
1,67,0.0,0.0033657455
1,68,0.0,0.008100033
1,69,0.0,0.0042632055
1,70,0.0,0.0036681273
1,71,0.0,0.012686482
1,72,0.0,0.0036681273
1,73,0.0,0.0009319165
1,74,0.0,0.0036681273
1,75,-0.131658548136776,0.004612578
1,76,0.0,0.0036681273
1,77,0.0,0.004817078
1,78,0.0,0.0036681273
1,79,0.0,0.0036681273
1,80,0.0,0.0036681273
1,81,0.0,0.0036681273
1,82,0.0,0.00028589158
1,83,0.0,0.0036681273
1,84,0.0,0.0036566907
1,85,0.0,0.0036681273
1,86,0.0,0.0036681273
1,87,0.0,0.0036681273
1,88,-0.13516955199422,0.0036681273
1,89,0.0,0.001322923
1,90,0.0,0.0019224265
1,91,-0.131339439441178,0.003721101
1,92,0.0,0.0036681273
1,93,0.0,0.0036681273
1,94,0.0,0.0036681273
1,95,0.0,0.0036681273
1,96,0.0,0.0036681273
1,97,0.0,0.00304207
1,98,0.0,0.0036681273
1,99,0.0,0.0023538151
1,100,0.0,0.0036681273
2,1,0.0,0.0036681273
2,2,0.0,-0.029955091
2,3,0.0,0.0036681273
2,4,0.0,0.0036681273
2,5,0.0,0.0036681273
2,6,0.0,0.0023939887
2,7,0.0,0.0036681273
2,8,0.0,0.0036681273
2,9,0.0,0.0036681273
2,10,0.0,0.004535271
2,11,0.0,0.0036681273
2,12,0.0,0.0013260373
2,13,0.0,0.0010865906
2,14,0.0,0.0028261074
2,15,0.0,0.0038935
2,16,0.0,0.0036681273
2,17,0.0,0.0036681273
2,18,0.0,0.0033237466
2,19,0.0,0.0024530718
2,20,0.0,0.004183186
2,21,0.0,0.0036681273
2,22,0.0,-0.002199324
2,23,0.0,0.002868397
2,24,0.0,0.0040447097
2,25,0.0,0.0036681273
2,26,0.0,0.0036681273
2,27,0.0,0.0036681273
2,28,0.0,0.003123922
2,29,0.0,0.0036681273
2,30,0.0,0.0011596361
2,31,0.0,0.0039364975
2,32,0.0,0.004294431
2,33,0.148602988805925,0.003481684
2,34,0.0,0.0036681273
2,35,0.0,0.0018190572
2,36,0.144729350315659,0.0036681273
2,37,0.151929524938965,0.0036681273
2,38,0.0,0.0028551796
2,39,0.154147480327299,0.0036681273
2,40,0.0,0.0036681273
2,41,0.0,0.0036681273
2,42,0.0,0.0009699145
2,43,0.0,0.004839965
2,44,0.0,0.0036904344
2,45,-0.149949233214708,0.0036681273
2,46,0.0,0.0036681273
2,47,0.0,0.004172532
2,48,0.14373196468612,0.0036681273
2,49,0.0,0.0036681273
2,50,0.0,0.0036681273
2,51,0.0,0.0036681273
2,52,0.0,0.0036681273
2,53,0.0,0.0036681273
2,54,0.149188213732527,0.0036681273
2,55,0.0,0.0028715858
2,56,0.0,0.0036681273
2,57,0.0,0.0036681273
2,58,0.0,0.0036681273
2,59,0.0,0.0036681273
2,60,0.0,0.0036681273
2,61,0.0,0.0036681273
2,62,0.0,0.004204804
2,63,0.0,-0.00032636733
2,64,0.149325506057369,0.0036681273
2,65,0.0,0.0036681273
2,66,0.0,0.0036681273
2,67,0.0,0.0036681273
2,68,-0.141965887136933,0.0036681273
2,69,0.0,-0.0005478284
2,70,0.0,0.0036681273
2,71,0.0,0.0036681273
2,72,0.0,0.0039897654
2,73,0.0,0.0036681273
2,74,0.0,0.0036681273
2,75,0.0,0.0036681273
2,76,0.0,0.002888424
2,77,0.0,0.0033417696
2,78,0.0,0.0036681273
2,79,0.0,0.003536729
2,80,0.0,0.0036681273
2,81,0.145782735012633,0.004011682
2,82,0.0,0.0036681273
2,83,0.0,0.0036681273
2,84,0.0,0.0036681273
2,85,0.0,0.004191434
2,86,0.0,0.0012574473
2,87,0.0,0.0030460039
2,88,0.0,0.0036681273
2,89,0.0,0.0036630013
2,90,0.0,0.00277145
2,91,0.0,0.0036681273
2,92,0.0,0.0036681273
2,93,0.0,0.0036681273
2,94,0.0,0.0036681273
2,95,0.0,0.0036681273
2,96,0.0,0.0036681273
2,97,0.0,0.0036681273
2,98,-0.141021736073071,-0.0006529114
2,99,0.0,0.0036681273
2,100,0.0,0.003296917
3,1,0.0,-0.0045366306
3,2,0.0,0.0036681273
3,3,0.0,-0.029955091
3,4,0.0,0.0021928826
3,5,0.0,0.0036681273
3,6,0.0,0.002420766
3,7,0.0,0.0036681273
3,8,0.0,0.00080656796
3,9,0.0,0.0036681273
3,10,0.0,0.009417788
3,11,0.0,0.0036681273
3,12,0.0,0.0036681273
3,13,0.0,0.0014109889
3,14,0.0,0.0036681273
3,15,0.0,-0.001444312
3,16,0.0,0.011568184
3,17,0.0,0.0036681273
3,18,0.0,0.0030129233
3,19,0.0,-0.00034716935
3,20,0.0,0.0036681273
3,21,0.0,0.0036681273
3,22,0.0,0.006895215
3,23,-0.144118011990301,0.0048397034
3,24,0.0,0.0036681273
3,25,0.0,0.0036681273
3,26,0.0,0.0036681273
3,27,0.0,0.0036681273
3,28,0.0,0.0036681273
3,29,0.0,0.01401823
3,30,0.0,0.0036681273
3,31,-0.13330327546414,0.0036681273
3,32,0.0,-0.00256479
3,33,0.148957161479427,5.2271178e-05
3,34,0.0,0.0033187622
3,35,0.0,0.003949931
3,36,0.0,0.0031250918
3,37,0.0,0.004499182
3,38,0.0,0.0036681273
3,39,0.0,-0.0024673364
3,40,0.0,0.016788496
3,41,0.0,-2.0059058e-05
3,42,0.0,0.0036681273
3,43,0.149206668775425,0.0006085613
3,44,0.0,0.004304668
3,45,-0.150306614457467,0.0036681273
3,46,0.0,0.0042280266
3,47,0.0,0.0032297575
3,48,0.0,0.0020481178
3,49,0.0,0.001818029
3,50,0.0,0.0036681273
3,51,0.0,0.00042879372
3,52,0.0,0.004288936
3,53,0.160059025306436,0.0036681273
3,54,0.0,0.0015088299
3,55,0.140508442614506,0.00069740205
3,56,0.0,0.0036681273
3,57,0.0,0.0036681273
3,58,0.0,0.003291873
3,59,0.0,0.0022108236
3,60,0.0,0.0036681273
3,61,0.0,0.0036681273
3,62,0.0,0.003633795
3,63,0.0,0.0070592044
3,64,0.0,0.0036681273
3,65,0.163305147977026,0.0020251402
3,66,0.0,0.0014292875
3,67,0.0,0.0033183598
3,68,0.0,0.0036681273
3,69,0.0,0.0036681273
3,70,0.0,0.0039262604
3,71,0.0,0.012079397
3,72,0.0,0.0034389326
3,73,0.0,0.0036681273
3,74,0.134763600686217,0.0036681273
3,75,0.0,0.0036681273
3,76,0.0,0.0048956503
3,77,0.0,0.0036681273
3,78,-0.150802411574784,0.0036681273
3,79,0.0,0.0036681273
3,80,0.0,0.0036691204
3,81,0.0,0.0036681273
3,82,0.0,-0.0021978638
3,83,0.0,0.0036681273
3,84,0.0,0.0036681273
3,85,0.0,-0.005690517
3,86,0.0,0.0036681273
3,87,0.0,0.0036681273
3,88,0.0,0.0036681273
3,89,0.0,0.0026631036
3,90,0.0,0.0036681273
3,91,0.144358218432902,0.0036681273
3,92,-0.145165096194212,0.0036681273
3,93,0.0,0.00086191087
3,94,0.0,0.0028893629
3,95,0.0,0.004819781
3,96,0.0,0.0036681273
3,97,0.0,-0.002324464
3,98,0.0,0.0036681273
3,99,-0.153980748792859,0.0036681273
3,100,0.0,0.0036681273
4,1,0.0,0.0036681273
4,2,-0.15487842590977,0.0044866
4,3,0.0,0.00241339
4,4,0.766907475423068,-0.029955091
4,5,0.0,-0.005033197
4,6,0.0,0.0036681273
4,7,0.0,-0.0050516743
4,8,0.0,0.0036681273
4,9,0.0,0.0036681273
4,10,0.149761239880689,-0.004231872
4,11,0.0,0.0036681273
4,12,0.0,0.0036681273
4,13,0.0,0.0036681273
4,14,0.0,0.0040323753
4,15,0.0,-0.002839329
4,16,0.0,0.0036681273
4,17,0.0,0.0037350112
4,18,0.0,0.0010860243
4,19,0.0,0.0036681273
4,20,0.0,0.0011294165
4,21,0.0,0.0036681273
4,22,0.0,-0.008497955
4,23,0.0,0.0036681273
4,24,0.0,0.0034815425
4,25,0.0,0.0036681273
4,26,0.0,0.0044451174
4,27,0.0,-0.0049779434
4,28,0.0,0.006701997
4,29,0.143862825636209,-0.0041598696
4,30,0.0,0.0036681273
4,31,0.0,0.0024124214
4,32,0.0,0.0025836804
4,33,-0.156291490322698,0.0036681273
4,34,0.0,0.013823756
4,35,0.0,0.007468235
4,36,0.0,0.0036681273
4,37,0.0,0.0047353683
4,38,0.153549212270085,0.0036681273
4,39,0.0,0.0036681273
4,40,0.0,0.0037142017
4,41,0.173502896502069,0.0039742272
4,42,0.0,0.0036681273
4,43,0.0,0.0036681273
4,44,-0.162030872160271,0.0036681273
4,45,0.0,-0.003784301
4,46,0.0,0.0053271204
4,47,0.0,0.002220718
4,48,0.0,0.0036681273
4,49,0.0,0.0006611922
4,50,0.0,0.001426203
4,51,0.0,0.0036681273
4,52,0.0,0.0036681273
4,53,0.0,0.0036681273
4,54,0.0,0.0036681273
4,55,0.0,0.0036681273
4,56,0.0,0.0045062047
4,57,0.0,0.0062454985
4,58,0.0,-0.00010249228
4,59,0.0,3.483682e-05
4,60,0.0,0.0030399987
4,61,0.0,0.0027093866
4,62,0.0,0.0036681273
4,63,0.0,-0.0011315665
4,64,0.0,0.0036681273
4,65,0.171345940679887,-0.0019058606
4,66,0.0,-0.0028831384
4,67,0.0,0.003148263
4,68,0.0,0.0005606094
4,69,0.0,0.0036681273
4,70,-0.169546813985236,0.0036681273
4,71,0.0,0.0042750183
4,72,0.0,0.0040707197
4,73,0.0,0.0036681273
4,74,0.0,0.0036681273
4,75,0.0,0.0036681273
4,76,0.0,0.0029927322
4,77,0.0,0.0036681273
4,78,0.0,-0.00018269033
4,79,0.0,0.0036681273
4,80,0.0,0.0036681273
4,81,0.0,0.01136399
4,82,0.0,0.0020213553
4,83,-0.156357303810764,0.0036681273
4,84,0.0,0.009874949
4,85,0.0,0.0036681273
4,86,0.0,-0.005471887
4,87,0.0,0.0036681273
4,88,0.0,0.0036681273
4,89,0.0,0.0036681273
4,90,0.0,-0.0071243662
4,91,0.0,0.0036681273
4,92,-0.152312711934732,0.004363967
4,93,0.0,0.0024841705
4,94,0.0,0.007997087
4,95,0.0,0.0036681273
4,96,0.0,0.0036681273
4,97,0.0,0.0036681273
4,98,0.0,0.0036681273
4,99,-0.161562428223129,0.0020100602
4,100,0.0,0.0036681273
5,1,0.0,0.0036681273
5,2,0.0,0.0036681273
5,3,0.0,0.0036681273
5,4,0.0,-0.0029072186
5,5,0.0,-0.029955091
5,6,0.0,0.0036681273
5,7,0.0,0.001621885
5,8,0.0,0.0036681273
5,9,0.0,0.0034342983
5,10,0.0,0.002399979
5,11,0.0,0.0036681273
5,12,0.0,0.0036681273
5,13,0.0,0.016472714
5,14,-0.138953094255657,0.0036681273
5,15,0.0,0.0036681273
5,16,0.0,-0.00039592595
5,17,0.0,0.0036681273
5,18,0.0,0.0025459656
5,19,0.0,0.0036681273
