eq,variable,beta,corr_estimate
V1,V1.L1,0,-0.124113532065535
V1,V10.L1,0,0.101999227856786
V1,V100.L1,0,0.0369119842268561
V1,V101.L1,0,-0.297747082973575
V1,V102.L1,0,-0.413036328701441
V1,V103.L1,0,-0.21292119928623
V1,V104.L1,0,-0.141332790687389
V1,V105.L1,0,-0.125330725144941
V1,V106.L1,0,-0.0282247623291213
V1,V107.L1,0.381945647811417,0.508806382753129
V1,V108.L1,0,-0.118680712698402
V1,V109.L1,0,0.328154181948756
V1,V11.L1,0,0.0903732310748544
V1,V110.L1,0,-0.299573616738337
V1,V111.L1,0,-0.0764431008546925
V1,V112.L1,0,0.288122177325489
V1,V113.L1,0,-0.0850527499304881
V1,V114.L1,0,0.0521096252654142
V1,V115.L1,0,0.0583108046870072
V1,V116.L1,0,-0.163342095920737
V1,V117.L1,0,0.26762325999462
V1,V118.L1,0,-0.032473814604408
V1,V119.L1,0,-0.0771833515837358
V1,V12.L1,0,0.172561096806733
V1,V120.L1,0,0.0277003939488794
V1,V121.L1,0,-0.0221923513771633
V1,V122.L1,0,0.00275186386340284
V1,V123.L1,0,0.111107691810788
V1,V124.L1,0,-0.0249667958059203
V1,V125.L1,0,0.069036274385326
V1,V126.L1,0,-0.0610634205952366
V1,V127.L1,0,-0.0776394166347586
V1,V128.L1,0,-0.0970131943197685
V1,V129.L1,0,0.0487599021307738
V1,V13.L1,0,0.146490030725858
V1,V130.L1,0,0.227470052092455
V1,V131.L1,0,0.249710364344313
V1,V132.L1,0,0.0704055922637686
V1,V133.L1,0,-0.154466711204367
V1,V134.L1,0,-0.293342133150118
V1,V135.L1,0,-0.0265174230720156
V1,V136.L1,0,0.248822340932483
V1,V137.L1,0,0.0851327441749933
V1,V138.L1,0,0.198407701617814
V1,V139.L1,0,0.0404567261535622
V1,V14.L1,0,0.00269980829538379
V1,V140.L1,0.219436924621233,0.180367891447757
V1,V141.L1,0,0.162475351043982
V1,V142.L1,0,0.0295342209810071
V1,V143.L1,0,-0.326163333095836
V1,V144.L1,0,-0.22278695271112
V1,V145.L1,0,-0.144626000684192
V1,V146.L1,0,-0.0405006943181683
V1,V147.L1,0,-0.0270229443769345
V1,V148.L1,0,0.0612902413517905
V1,V149.L1,0,-0.0817003077551773
V1,V15.L1,0,0.100484422217581
V1,V150.L1,0,0.0680310682111521
V1,V151.L1,0,-0.0306705356768469
V1,V152.L1,0,0.0820662875588826
V1,V153.L1,0,-0.154510713829955
V1,V154.L1,0,0.0598355032877264
V1,V155.L1,0,-0.405548392146549
V1,V156.L1,0,0.114843125950296
V1,V157.L1,0,0.116042878531436
V1,V158.L1,0,0.305284647940974
V1,V159.L1,0,-0.193857630959888
V1,V16.L1,0,0.193105721804207
V1,V160.L1,0,0.017822895444756
V1,V161.L1,-0.739470893338019,-0.69387582923255
V1,V162.L1,0,-0.119960833302689
V1,V163.L1,0,0.166340051199607
V1,V164.L1,0,-0.128432227321277
V1,V165.L1,0,-0.192041643687751
V1,V166.L1,0,0.230982833502714
V1,V167.L1,0,0.120158517453263
V1,V168.L1,0,0.0630996711542687
V1,V169.L1,0,-0.00912940786378548
V1,V17.L1,0,0.096903242266706
V1,V170.L1,0,-0.0345510011766116
V1,V171.L1,0,-0.237977151354186
V1,V172.L1,0,-0.253895134524343
V1,V173.L1,0,0.216132740983048
V1,V174.L1,0,-0.144473547395233
V1,V175.L1,0,-0.0108723345347115
